rank,title,authors,year,id,status,role,sub_area,provenance,source,citation_count,confidence,url,notes
221,ToolQA: A Dataset for LLM Question Answering with External Tools,Zhuang et al,2023,2306.13304,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,QA benchmark designed to require external tools
222,Mobile-Bench: An Evaluation Benchmark for LLM-based Mobile Agents,Deng et al,2024,2407.00993,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web;auto-map:arxiv-query,arxiv:mobile-agents;curated-400,0,1.0,https://arxiv.org/abs/2407.00993,Mobile benchmark with API-assisted and multi-app tasks
223,SWE-Fixer: Training Open-Source LLMs for Effective and Efficient GitHub Issue Resolution,Wei et al,2025,2501.05040,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Open-source model training for GitHub issue resolution
224,AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents,Trivedi et al,2024,2407.18901,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Simulated app ecosystem for coding agents that call APIs
225,AssistantBench: Can Web Agents Solve Realistic and Time-Consuming Tasks?,Yoran et al,2024,2407.15711,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,"Realistic, time-consuming web tasks; strong gap signal for web agents"
226,A3: Android Agent Arena for Mobile GUI Agents,Zhang et al,2025,2501.01149,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Online Android GUI-agent evaluation platform
227,SWE-PolyBench: A Multi-Language Benchmark for Repository Level Evaluation of Coding Agents,Rashid et al,2025,2504.08703,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Multi-language execution benchmark for coding agents
228,"Terminal-Bench: Benchmarking Agents on Hard, Realistic Tasks in Command Line Interfaces",Phan et al,2026,2601.11868,watchlist,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Recent hard CLI benchmark; promising but very new
229,AutoDroid: LLM-powered Task Automation in Android,Wen et al,2023,2308.15272,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Android task automation with app-specific memory injection
230,Ferret-UI: Grounded Mobile UI Understanding with Multimodal LLMs,You et al,2024,2404.05719,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Mobile UI grounding and reasoning benchmark/model
231,MMInA: Benchmarking Multihop Multimodal Internet Agents,Zhang et al,2024,2404.09992,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Multihop web tasks across evolving multimodal websites
232,OmniACT: A Dataset and Benchmark for Enabling Multimodal Generalist Autonomous Agents for Desktop and Web,Kapoor et al,2024,2402.17553,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Multimodal executable-script benchmark for desktop and web tasks
233,SWE-bench Multimodal: Do AI Systems Generalize to Visual Software Domains?,Yang et al,2024,2410.03859,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Extends SWE-bench to visual JavaScript/UI issues
234,WebCanvas: Benchmarking Web Agents in Online Environments,Pan et al,2024,2406.12373,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Online evaluation framework and Mind2Web-Live dataset
235,Mobile-Bench-v2: A More Realistic and Comprehensive Benchmark for VLM-based Mobile Agents,Deng et al,2025,2505.11891,watchlist,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Recent follow-up to Mobile-Bench; needs adoption check
236,Evaluating Large Language Models Trained on Code,Chen et al,2021,2107.03374,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web;auto-map:openalex-query,curated-400;openalex:agent-safety;openalex:debate;openalex:mobile-agents;openalex:robot-collaboration,1415,1.0,http://arxiv.org/abs/2107.03374,HumanEval origin paper; still a baseline for coding agents
237,WebShop: Towards Scalable Real-World Web Interaction with Grounded Language Agents,Yao et al,2022,2207.01206,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,E-commerce web environment preceding modern web-agent benchmarks
238,Skeleton-of-Thought: Large Language Models Can Do Parallel Decoding,Ning et al,2024,OpenReview:mqVgBbNCm9,watchlist,bridge,"Software, Web, and Computer-Use Agents",agent-batch:core-frameworks-reasoning,curated-400,0,1.0,,Adjacent parallel decomposition pattern
239,RepoBench: Benchmarking Repository-Level Code Auto-Completion Systems,Liu et al,2023,2306.03091,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Early repository-level context benchmark for coding systems
240,BigCodeBench: Benchmarking Code Generation with Diverse Function Calls and Complex Instructions,Zhuo et al,2024,2406.15877,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Practical code-generation tasks requiring library/tool calls
241,GUI Odyssey: A Comprehensive Dataset for Cross-App GUI Navigation on Mobile Devices,Lu et al,2024,2406.08451,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Cross-app mobile navigation dataset
242,HammerBench: Fine-Grained Function-Calling Evaluation in Real Mobile Device Scenarios,Lin et al,2024,2412.16516,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Function-calling benchmark in realistic mobile dialogues
243,OS-Copilot: Towards Generalist Computer Agents with Self-Improvement,Wu et al,2024,2402.07456,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web,curated-400,0,1.0,,FRIDAY generalist computer agent with self-improvement
244,SWE-bench-java: A GitHub Issue Resolving Benchmark for Java,Zan et al,2024,2408.14354,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web;auto-map:openalex-query,curated-400;openalex:swe-benchmarks,2,1.0,http://arxiv.org/abs/2408.14354,Java issue-resolution variant with execution harness
245,WorkArena++: Towards Compositional Planning and Reasoning-based Common Knowledge Work Tasks,Boisvert et al,2024,2407.05291,candidate,bridge,"Software, Web, and Computer-Use Agents",agent-batch:benchmarks-software-web;auto-map:openalex-query,curated-400;openalex:workplace-agents,1,1.0,http://arxiv.org/abs/2407.05291,Compositional extension of WorkArena
246,Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,Li et al,2024,2405.02957,seed,trend,Scientific and Domain Agents,auto-map:arxiv-query;auto-map:openalex-query;seed,arxiv:medical-agents;curated-400;openalex:agent-benchmarks;openalex:tool-use,36,1.0,https://arxiv.org/abs/2405.02957,trend; Medical agent society
247,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,Lu et al,2024,2408.06292,seed,trend,Scientific and Domain Agents,auto-map:arxiv-query;auto-map:openalex-query;seed,arxiv:ai-scientist;curated-400;openalex:ai-scientist;openalex:scientific-agents,99,1.0,https://arxiv.org/abs/2408.06292,trend; Autonomous research agents
248,Agent Laboratory: Using LLM Agents as Research Assistants,Schmidgall et al,2025,2501.04227,seed,trend,Scientific and Domain Agents,auto-map:arxiv-query;seed,arxiv:llm-agent-surveys;curated-400,0,1.0,https://arxiv.org/abs/2501.04227,trend; Research agents
249,AgentRxiv: Towards Collaborative Autonomous Research,Schmidgall et al,2025,2503.18102,seed,trend,Scientific and Domain Agents,seed,curated-400,0,1.0,,trend; Collaborative research agents
250,Curie: Toward Rigorous and Automated Scientific Experimentation with AI Agents,Kon et al,2025,2502.16069,seed,trend,Scientific and Domain Agents,seed,curated-400,0,1.0,,trend; Scientific experimentation agents
251,InternAgent: When Agent Becomes the Scientist -- Building Closed-Loop System from Hypothesis to Verification,Team et al,2025,2505.16938,seed,trend,Scientific and Domain Agents,seed,curated-400,0,1.0,,trend; Closed-loop research agents
252,MLGym: A New Framework and Benchmark for Advancing AI Research Agents,Nathani et al,2025,2502.14499,seed,bridge,Scientific and Domain Agents,seed,curated-400,0,1.0,,bridge; ML research-agent benchmark
253,PaperBench: Evaluating AI's Ability to Replicate AI Research,Starace et al,2025,2504.01848,seed,bridge,Scientific and Domain Agents,seed,curated-400,0,1.0,,bridge; Research replication benchmark
254,Towards a Science of Scaling Agent Systems,Kim et al,2025,2512.08296,seed,trend,Scientific and Domain Agents,seed,curated-400,0,1.0,,trend; Scaling principles
255,Towards an AI Co-Scientist,Gottweis et al,2025,2502.18864,seed,core,Scientific and Domain Agents,auto-map:openalex-query;seed,curated-400;openalex:ai-scientist,33,1.0,http://arxiv.org/abs/2502.18864,core; Scientific discovery agents
256,AI Scientists Produce Results Without Reasoning Scientifically,Rios-Garcia et al,2026,2604.18805,seed,trend,Scientific and Domain Agents,auto-map:arxiv-query;seed,arxiv:ai-scientist;curated-400,0,1.0,https://arxiv.org/abs/2604.18805,trend; Scientific reasoning
257,TradingAgents: Multi-Agents LLM Financial Trading Framework,Xiao et al,2025,OpenReview:4QPrXwMQt1,candidate,trend,Scientific and Domain Agents,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:debate;openalex:finance-agents;openalex:frameworks,3,1.0,http://arxiv.org/abs/2412.20138,Financial trading agent team
258,A Multi-agent Large Language Model Framework to Automatically Assess Performance of a Clinical AI Triage Tool,Flanders et al,2025,2510.26498,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,LLM ensemble evaluates clinical AI triage-tool performance
259,Enhancing Diagnostic Capability with Multi-Agents Conversational Large Language Models,Chen et al,2025,DOI:10.1038/s41746-025-01550-0,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends;auto-map:openalex-query,curated-400;openalex:medical-agents;openalex:reasoning,58,1.0,https://doi.org/10.1038/s41746-025-01550-0,NPJ Digital Medicine rare-disease diagnosis MAC framework
260,MACD: Multi-Agent Clinical Diagnosis with Self-Learned Knowledge for LLM,Li et al,2025,2509.20067,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Self-learning clinical diagnosis MAS with human collaboration variant
261,Medical AI Consensus: A Multi-Agent Framework for Radiology Report Generation and Evaluation,Elboardy et al,2025,2509.17353,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Radiology report generation and evaluation via specialized agents
262,MedCoAct: Confidence-Aware Multi-Agent Collaboration for Complete Clinical Decision,Zheng et al,2025,2510.10461,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Doctor and pharmacist agents for integrated diagnosis and medication workflows
263,PiFlow: Principle-aware Scientific Discovery with Multi-Agent Collaboration,Pu et al,2025,2505.15047,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Information-theoretic MAS for uncertainty-reducing discovery
264,ClinicalAgent: Clinical Trial Multi-Agent System with Large Language Model-based Reasoning,Yue et al,2024,2404.14777,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends;auto-map:openalex-query,curated-400;openalex:medical-agents;openalex:reasoning,20,1.0,https://doi.org/10.1145/3698587.3701359,Multi-agent clinical-trial outcome reasoning
265,Development of a Large Language Model-based Multi-Agent Clinical Decision Support System for KTAS-Based Triage and Treatment Planning in Emergency Departments,Han & Choi,2024,2408.07531,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends;auto-map:openalex-query,curated-400;openalex:planning,2,1.0,http://arxiv.org/abs/2408.07531,Emergency-department role agents for triage and treatment planning
266,KG4Diagnosis: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Medical Diagnosis,Zuo et al,2024,2412.16833,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends;auto-map:openalex-query,curated-400;openalex:frameworks;openalex:medical-agents,9,1.0,http://arxiv.org/abs/2412.16833,Hierarchical GP and specialist-agent diagnosis framework
267,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,Li et al,2023,2309.03736,candidate,trend,Scientific and Domain Agents,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:debate;openalex:finance-agents,10,1.0,http://arxiv.org/abs/2309.03736,Layered memory and role characters for trading
268,MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation,Huang et al,2023,2310.03302,candidate,trend,Scientific and Domain Agents,agent-batch:benchmarks-software-web,curated-400,0,1.0,,Early end-to-end ML experimentation benchmark for agents
269,SciAgents: Automating Scientific Discovery through Multi-Agent Intelligent Graph Reasoning,Ghafarollahi & Buehler,2024,2409.05556,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends;auto-map:openalex-query,curated-400;openalex:scientific-agents,6,1.0,http://arxiv.org/abs/2409.05556,Explicit multi-agent graph-reasoning system for materials discovery
270,A Knowledge-driven Adaptive Collaboration of LLMs for Enhancing Medical Decision-making,Wu et al,2025,2509.14998,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,KAMAC dynamically recruits specialist medical agents
271,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,Chen et al,2024,2410.05080,candidate,trend,Scientific and Domain Agents,agent-batch:benchmarks-software-web;auto-map:arxiv-query;auto-map:openalex-query,arxiv:scientific-agents;curated-400;openalex:scientific-agents,6,1.0,https://arxiv.org/abs/2410.05080,Peer-paper-derived scientific coding tasks for agents
272,MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,Kim et al,2024,2404.15155,candidate,trend,Scientific and Domain Agents,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:collaboration;openalex:medical-agents;openalex:tool-use,8,1.0,http://arxiv.org/abs/2404.15155,Adaptive medical-agent collaboration
273,Data Interpreter: An LLM Agent For Data Science,Hong et al,2024,2402.18679,candidate,trend,Scientific and Domain Agents,agent-batch:benchmarks-software-web;auto-map:openalex-query,curated-400;openalex:workflow-generation,11,1.0,http://arxiv.org/abs/2402.18679,Agentic workflow system for data-science problem solving
274,ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,Baek et al,2024,2404.07738,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Literature-grounded idea generator with reviewing agents
275,Large Language Models to Accelerate Organic Chemistry Synthesis,Zhang et al,2025,DOI:10.1038/s42256-025-01066-y,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Organic synthesis acceleration paper adjacent to autonomous labs
276,MM-Agent: LLM as Agents for Real-world Mathematical Modeling Problem,Liu et al,2025,2505.14148,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Agent framework and benchmark for mathematical modeling
277,MedAgents: Large Language Models as Collaborators for Zero-shot Medical Reasoning,Tang et al,2023,2311.10537,candidate,trend,Scientific and Domain Agents,agent-batch:core-frameworks-reasoning;auto-map:openalex-query,curated-400;openalex:collaboration;openalex:frameworks;openalex:medical-agents;openalex:planning;openalex:reasoning,83,1.0,https://doi.org/10.18653/v1/2024.findings-acl.33,Multi-disciplinary medical agent discussion
278,"Verification-first Autonomous Catalysis: Large Language Models as Infrastructure for Mechanism, Computation, and Experiment",Liu et al,2026,DOI:10.1038/s44387-026-00111-4,watchlist,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Very recent verification-first perspective for autonomous catalysis
279,A Sober Look at LLMs for Material Discovery: Are They Actually Good for Bayesian Optimization Over Molecules?,Kristiadi et al,2024,2402.05015,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Useful cautionary material-discovery evaluation
280,An Automatic End-to-End Chemical Synthesis Development Platform Powered by Large Language Models,Ruan et al,2024,DOI:10.1038/s41467-024-54457-x,candidate,trend,Scientific and Domain Agents,agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Automated synthesis development with LLM orchestration
281,Teams of LLM Agents can Exploit Zero-Day Vulnerabilities,Zhu et al,2024,2406.01637,seed,trend,"Safety, Security, and Reliability",auto-map:openalex-query;seed,curated-400;openalex:cybersecurity,18,1.0,http://arxiv.org/abs/2406.01637,trend; Multi-agent cybersecurity
282,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,Wang et al,2025,2502.11127,seed,core,"Safety, Security, and Reliability",auto-map:openalex-query;seed,curated-400;openalex:llm-mas,6,1.0,https://doi.org/10.18653/v1/2025.acl-long.359,core; Multi-agent safety/security
283,OpenAgentSafety: A Comprehensive Framework for Evaluating Real-World AI Agent Safety,Vijayvargiya et al,2025,2507.06134,seed,bridge,"Safety, Security, and Reliability",seed,curated-400,0,1.0,,bridge; Agent safety evaluation
284,SafeArena: Evaluating the Safety of Autonomous Web Agents,Tur et al,2025,2503.04957,seed,bridge,"Safety, Security, and Reliability",seed,curated-400,0,1.0,,bridge; Web-agent safety benchmark
285,LLMs Corrupt Your Documents When You Delegate,Laban et al,2026,2604.15597,seed,core,"Safety, Security, and Reliability",seed,curated-400,0,1.0,,core; Delegation reliability
286,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,Hossain et al,2025,2509.14285,watchlist,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Multi-agent defensive pipeline for prompt injection
287,AgentAuditor: Human-Level Safety and Security Evaluation for LLM Agents,Luo et al,2025,2506.00641,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Memory-augmented LLM judge for agent safety and security traces
288,Benchmarking and Defending Against Indirect Prompt Injection Attacks on Large Language Models,Yi et al,2023,2312.14197,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,BIPIA precursor for indirect prompt injection defenses
289,Agent-SafetyBench: Evaluating the Safety of LLM Agents,Zhang et al,2024,2412.14470,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends;auto-map:arxiv-query,arxiv:agent-safety;curated-400,0,1.0,https://arxiv.org/abs/2412.14470,Large benchmark across interaction environments and risk types
290,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,Andriushchenko et al,2024,2410.09024,candidate,bridge,"Safety, Security, and Reliability",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Malicious multi-step agent tasks; important red-team benchmark
291,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,Zhan et al,2024,2403.02691,candidate,bridge,"Safety, Security, and Reliability",agent-batch:benchmarks-software-web;auto-map:openalex-query,curated-400;openalex:prompt-injection,30,1.0,https://doi.org/10.18653/v1/2024.findings-acl.624,Directly targets indirect prompt injection in tool-integrated agents
292,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,Yuan et al,2024,2401.10019,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Safety-risk awareness benchmark over agent interaction records
293,CyberSecEval 2: A Wide-Ranging Cybersecurity Evaluation Suite for Large Language Models,Bhatt et al,2024,2404.13161,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Cyber capability evaluation bridge for agent-risk assessment
294,Check Yourself Before You Wreck Yourself: Selectively Quitting Improves LLM Agent Safety,Bonagiri et al,2025,2510.16492,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends;auto-map:arxiv-query,arxiv:agent-safety;curated-400,0,1.0,https://arxiv.org/abs/2510.16492,ToolEmu-based safety mechanism for high-stakes agent uncertainty
295,Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution,Alizadeh et al,2025,2506.01055,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Data-exfiltration analysis built around AgentDojo-style tasks
296,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,Greshake et al,2023,2302.12173,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Foundational indirect prompt-injection attack taxonomy
297,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Debenedetti et al,2024,2406.13352,candidate,bridge,"Safety, Security, and Reliability",agent-batch:benchmarks-software-web;auto-map:openalex-query,curated-400;openalex:prompt-injection,6,1.0,http://arxiv.org/abs/2406.13352,Dynamic tool-agent environment with attack and defense cases
298,AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification,Zhang et al,2026,2602.22724,watchlist,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends;auto-map:arxiv-query,arxiv:prompt-injection;curated-400,0,1.0,https://arxiv.org/abs/2602.22724,Recent causal mitigation for multi-turn indirect prompt injection
299,"OpenClaw PRISM: A Zero-Fork, Defense-in-Depth Runtime Security Layer for Tool-Augmented LLM Agents",Li,2026,2603.11853,watchlist,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends;auto-map:arxiv-query,arxiv:prompt-injection;curated-400,0,1.0,https://arxiv.org/abs/2603.11853,Runtime security layer proposal for tool-augmented agents
300,Alignment Faking in Large Language Models,Greenblatt et al,2024,2412.14093,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Empirical alignment-faking demonstration relevant to agent oversight
301,BadAgent: Inserting and Activating Backdoor Attacks in LLM Agents,Wang et al,2024,2406.03007,candidate,bridge,"Safety, Security, and Reliability",agent-batch:benchmarks-software-web,curated-400,0,1.0,,Backdoor threat model for fine-tuned tool-using agents
302,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,Hubinger et al,2024,2401.05566,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Deception and backdoor persistence anchor for autonomous agents
303,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,Wallace et al,2024,2404.13208,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Important instruction-priority defense for tool and browsing contexts
304,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,Jia et al,2024,2412.16682,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends;auto-map:openalex-query,curated-400;openalex:prompt-injection,2,1.0,https://doi.org/10.18653/v1/2025.acl-long.1435,Test-time task-alignment defense evaluated on AgentDojo
305,ToolSword: Unveiling Safety Issues of Large Language Models in Tool Learning Across Three Stages,Ye et al,2024,2402.10753,candidate,bridge,"Safety, Security, and Reliability",agent-batch:benchmarks-software-web,curated-400,0,1.0,,"Safety cases across input, execution, and output stages of tool use"
306,Model Evaluation for Extreme Risks,Shevlane et al,2023,2305.15324,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Dangerous-capability and alignment-evaluation governance anchor
307,Agent Safety Alignment via Reinforcement Learning,Sha et al,2025,2507.08270,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends;auto-map:arxiv-query,arxiv:agent-safety;curated-400,0,1.0,https://arxiv.org/abs/2507.08270,RL alignment framework for user and tool threat channels
308,PromptArmor: Simple yet Effective Prompt Injection Defenses,Shi et al,2025,2507.15219,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,AgentDojo defense baseline for injected-prompt removal
309,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,Ruan et al,2023,2309.15817,candidate,bridge,"Safety, Security, and Reliability",agent-batch:benchmarks-software-web;auto-map:openalex-query,curated-400;openalex:tool-use,4,1.0,http://arxiv.org/abs/2309.15817,ToolEmu sandbox for scalable risk discovery in high-stakes tool use
310,Skill-Inject: Measuring Agent Vulnerability to Skill File Attacks,Schmotz et al,2026,2602.20156,watchlist,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Agent-skill supply-chain injection benchmark
311,AI Control: Improving Safety Despite Intentional Subversion,Greenblatt et al,2023,2312.06942,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Control protocols with untrusted model monitoring and editing
312,Frontier AI Regulation: Managing Emerging Risks to Public Safety,Anderljung et al,2023,2307.03718,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Governance anchor for pre-deployment risk assessment and scrutiny
313,Dynamic Safety Cases for Frontier AI,Carlan et al,2024,2412.17618,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,"Continuously updated safety-case approach, including cyber-capability template"
314,Safety Cases for Frontier AI,Buhl et al,2024,2410.21572,candidate,bridge,"Safety, Security, and Reliability",agent-batch:science-safety-surveys-trends,curated-400,0,1.0,,Structured assurance-case frame for frontier agent deployment
315,"Psysafe: A comprehensive framework for psychological-based attack, defense, and evaluation of multi-agent system safety",Zhang et al,2024,2401.11880,candidate,bridge,"Safety, Security, and Reliability",local-snowball:1,curated-400,0,1.0,,referenced by local seed corpus
316,Learning Multiagent Communication with Backpropagation (CommNet),Sukhbaatar et al,2016,1605.07736,seed,anchor,"MARL, Emergent Communication, and Social Behavior",seed,curated-400,0,1.0,,anchor; Learned communication
317,Learning to Communicate with Deep Multi-Agent RL (RIAL/DIAL),Foerster et al,2016,1605.06676,seed,anchor,"MARL, Emergent Communication, and Social Behavior",auto-map:openalex-query;seed,curated-400;openalex:marl,869,1.0,http://arxiv.org/abs/1605.06676,anchor; Emergent communication
318,Multi-Agent Cooperation and the Emergence of (Natural) Language,Lazaridou et al,2017,1612.07182,seed,anchor,"MARL, Emergent Communication, and Social Behavior",auto-map:openalex-query;seed,curated-400;openalex:coding-agents,122,1.0,http://arxiv.org/abs/1612.07182,anchor; Emergent language
319,Multi-Agent Reinforcement Learning in Sequential Social Dilemmas,Leibo et al,2017,1702.03037,seed,anchor,"MARL, Emergent Communication, and Social Behavior",auto-map:openalex-query;seed,curated-400;openalex:marl;openalex:social-dilemmas,275,1.0,http://arxiv.org/abs/1702.03037,anchor; Social dilemmas
320,Counterfactual Multi-Agent Policy Gradients (COMA),Foerster et al,2018,1705.08926,seed,anchor,"MARL, Emergent Communication, and Social Behavior",auto-map:openalex-query;local-bib-auto;seed,curated-400;local-bib;openalex:agent-benchmarks;openalex:collaboration;openalex:dec-pomdp;openalex:human-ai-coordination;openalex:planning;openalex:robot-collaboration;openalex:social-dilemmas,1608,1.0,https://doi.org/10.1609/aaai.v32i1.11794,anchor; MARL credit assignment
321,Emergence of Grounded Compositional Language in Multi-Agent Populations,Mordatch et al,2018,1703.04908,seed,anchor,"MARL, Emergent Communication, and Social Behavior",seed,curated-400,0,1.0,,anchor; Emergent language
322,QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,Rashid et al,2018,1803.11485,seed,anchor,"MARL, Emergent Communication, and Social Behavior",auto-map:openalex-query;seed,curated-400;openalex:dec-pomdp;openalex:marl,352,1.0,http://arxiv.org/abs/1803.11485,anchor; MARL value factorization
