rank,id,title,authors,year,status,role,sub_area,source,citation_count,confidence,url,arxiv_id,artifact_path,pdf_path,source_path,pdf_status,source_status,review_batch,decision,note
353,2506.02718,Heterogeneous Group-Based Reinforcement Learning for LLM-based Multi-Agent Systems,Chen et al,2025,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,2506.02718,papers_extra/multi-agent-triaged/0353_2506.02718,papers_extra/multi-agent-triaged/0353_2506.02718/paper.pdf,papers_extra/multi-agent-triaged/0353_2506.02718/source,present,present,batch-03,keep,Retained after batch review.
354,1808.10696,How Agents See Things: On Visual Representations in an Emergent Language Game,Bouchacourt & Baroni,2018,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1808.10696,papers_extra/multi-agent-triaged/0354_1808.10696,papers_extra/multi-agent-triaged/0354_1808.10696/paper.pdf,papers_extra/multi-agent-triaged/0354_1808.10696/source,present,present,batch-03,keep,Retained after batch review.
355,1809.00549,Emergence of Communication in an Interactive World with Consistent Speakers,Bogin et al,2018,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1809.00549,papers_extra/multi-agent-triaged/0355_1809.00549,papers_extra/multi-agent-triaged/0355_1809.00549/paper.pdf,papers_extra/multi-agent-triaged/0355_1809.00549/source,present,present,batch-03,keep,Retained after batch review.
356,1906.02403,Ease-of-Teaching and Language Structure from Emergent Communication,Li & Bowling,2019,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1906.02403,papers_extra/multi-agent-triaged/0356_1906.02403,papers_extra/multi-agent-triaged/0356_1906.02403/paper.pdf,papers_extra/multi-agent-triaged/0356_1906.02403/source,present,present,batch-03,keep,Retained after batch review.
357,2405.11106,Llm-based multi-agent reinforcement learning: Current and future directions,Sun et al,2024,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",arxiv:surveys;curated-400;openalex:llm-mas-surveys,10,1.0,https://arxiv.org/abs/2405.11106,2405.11106,papers_extra/multi-agent-triaged/0357_2405.11106,papers_extra/multi-agent-triaged/0357_2405.11106/paper.pdf,papers_extra/multi-agent-triaged/0357_2405.11106/source,present,present,batch-03,keep,Retained after batch review.
358,2404.03869,Heterogeneous Multi-Agent Reinforcement Learning for Zero-Shot Scalable Collaboration,Guo et al,2024,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,2404.03869,papers_extra/multi-agent-triaged/0358_2404.03869,papers_extra/multi-agent-triaged/0358_2404.03869/paper.pdf,papers_extra/multi-agent-triaged/0358_2404.03869/source,present,present,batch-03,keep,Retained after batch review.
359,1603.01121,Deep Reinforcement Learning from Self-Play in Imperfect-Information Games,Heinrich & Silver,2016,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1603.01121,papers_extra/multi-agent-triaged/0359_1603.01121,papers_extra/multi-agent-triaged/0359_1603.01121/paper.pdf,papers_extra/multi-agent-triaged/0359_1603.01121/source,present,present,batch-03,keep,Retained after batch review.
360,1609.05559,Opponent Modeling in Deep Reinforcement Learning,He et al,2016,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1609.05559,papers_extra/multi-agent-triaged/0360_1609.05559,papers_extra/multi-agent-triaged/0360_1609.05559/paper.pdf,papers_extra/multi-agent-triaged/0360_1609.05559/source,present,present,batch-03,keep,Retained after batch review.
362,1803.08884,Inequity Aversion Improves Cooperation in Intertemporal Social Dilemmas,Hughes et al,2018,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400;openalex:social-dilemmas,76,1.0,http://arxiv.org/abs/1803.08884,1803.08884,papers_extra/multi-agent-triaged/0362_1803.08884,papers_extra/multi-agent-triaged/0362_1803.08884/paper.pdf,papers_extra/multi-agent-triaged/0362_1803.08884/source,present,present,batch-03,keep,Retained after batch review.
363,1807.01281,Human-level Performance in First-person Multiplayer Games with Population-based Deep Reinforcement Learning,Jaderberg et al,2019,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1807.01281,papers_extra/multi-agent-triaged/0363_1807.01281,papers_extra/multi-agent-triaged/0363_1807.01281/paper.pdf,papers_extra/multi-agent-triaged/0363_1807.01281/source,present,present,batch-03,keep,Retained after batch review.
364,1908.09453,OpenSpiel: A Framework for Reinforcement Learning in Games,Lanctot et al,2019,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400;openalex:social-dilemmas,106,1.0,http://arxiv.org/abs/1908.09453,1908.09453,papers_extra/multi-agent-triaged/0364_1908.09453,papers_extra/multi-agent-triaged/0364_1908.09453/paper.pdf,papers_extra/multi-agent-triaged/0364_1908.09453/source,present,present,batch-03,keep,Retained after batch review.
365,2004.09124,Compositionality and Generalization in Emergent Languages,Chaabouni et al,2020,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,2004.09124,papers_extra/multi-agent-triaged/0365_2004.09124,papers_extra/multi-agent-triaged/0365_2004.09124/paper.pdf,papers_extra/multi-agent-triaged/0365_2004.09124/source,present,present,batch-03,keep,Retained after batch review.
366,2107.12808,Open-Ended Learning Leads to Generally Capable Agents,Open Ended Learning Team et al,2021,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,2107.12808,papers_extra/multi-agent-triaged/0366_2107.12808,papers_extra/multi-agent-triaged/0366_2107.12808/paper.pdf,papers_extra/multi-agent-triaged/0366_2107.12808/source,present,present,batch-03,keep,Retained after batch review.
367,2506.24119,SPIRAL: Self-Play on Zero-Sum Games Incentivizes Reasoning via Multi-Agent Multi-Turn Reinforcement Learning,Liu et al,2025,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,2506.24119,papers_extra/multi-agent-triaged/0367_2506.24119,papers_extra/multi-agent-triaged/0367_2506.24119/paper.pdf,papers_extra/multi-agent-triaged/0367_2506.24119/source,present,present,batch-03,keep,Retained after batch review.
368,1712.01815,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,Silver et al,2018,watchlist,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400,0,1.0,,1712.01815,papers_extra/multi-agent-triaged/0368_1712.01815,papers_extra/multi-agent-triaged/0368_1712.01815/paper.pdf,papers_extra/multi-agent-triaged/0368_1712.01815/source,present,present,batch-03,keep,Retained after batch review.
369,Proceedings of ICLR,Learning to schedule communication in multi-agent reinforcement learning,Kim et al,2019,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",curated-400;openalex:dec-pomdp,59,1.0,http://arxiv.org/abs/1902.01554,1902.01554,papers_extra/multi-agent-triaged/0369_1902.01554,papers_extra/multi-agent-triaged/0369_1902.01554/paper.pdf,papers_extra/multi-agent-triaged/0369_1902.01554/source,present,present,batch-03,keep,Retained after batch review.
370,2410.18636,Multi-agent cooperation through learning-aware policy gradients,Meulemans et al,2024,candidate,anchor,"MARL, Emergent Communication, and Social Behavior",arxiv:social-dilemmas;curated-400,0,1.0,https://arxiv.org/abs/2410.18636,2410.18636,papers_extra/multi-agent-triaged/0370_2410.18636,papers_extra/multi-agent-triaged/0370_2410.18636/paper.pdf,papers_extra/multi-agent-triaged/0370_2410.18636/source,present,present,batch-03,keep,Retained after batch review.
373,2501.06322,Multi-Agent Collaboration Mechanisms: A Survey of LLMs,Tran et al,2025,candidate,survey,Surveys and Taxonomies,arxiv:llm-agent-surveys;arxiv:surveys;curated-400,0,1.0,https://arxiv.org/abs/2501.06322,2501.06322,papers_extra/multi-agent-triaged/0373_2501.06322,papers_extra/multi-agent-triaged/0373_2501.06322/paper.pdf,papers_extra/multi-agent-triaged/0373_2501.06322/source,present,present,batch-03,keep,Retained after batch review.
374,2502.14321,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,Yan et al,2025,candidate,survey,Surveys and Taxonomies,arxiv:surveys;curated-400;openalex:llm-mas;openalex:llm-mas-surveys;openalex:surveys,8,1.0,https://arxiv.org/abs/2502.14321,2502.14321,papers_extra/multi-agent-triaged/0374_2502.14321,papers_extra/multi-agent-triaged/0374_2502.14321/paper.pdf,papers_extra/multi-agent-triaged/0374_2502.14321/source,present,present,batch-03,keep,Retained after batch review.
375,2505.21116,Creativity in LLM-based Multi-Agent Systems: A Survey,Lin et al,2025,candidate,survey,Surveys and Taxonomies,arxiv:surveys;curated-400;openalex:llm-mas;openalex:llm-mas-surveys;openalex:surveys,2,1.0,https://arxiv.org/abs/2505.21116,2505.21116,papers_extra/multi-agent-triaged/0375_2505.21116,papers_extra/multi-agent-triaged/0375_2505.21116/paper.pdf,papers_extra/multi-agent-triaged/0375_2505.21116/source,present,present,batch-03,keep,Retained after batch review.
377,2412.17481,A Survey on LLM-based Multi-Agent System: Recent Advances and New Frontiers in Application,Chen et al,2024,candidate,survey,Surveys and Taxonomies,arxiv:surveys;curated-400;openalex:llm-mas;openalex:llm-mas-surveys;openalex:surveys,6,1.0,https://arxiv.org/abs/2412.17481,2412.17481,papers_extra/multi-agent-triaged/0377_2412.17481,papers_extra/multi-agent-triaged/0377_2412.17481/paper.pdf,papers_extra/multi-agent-triaged/0377_2412.17481/source,present,present,batch-03,keep,Retained after batch review.
378,2402.03578,LLM Multi-Agent Systems: Challenges and Open Problems,Han et al,2024,candidate,survey,Surveys and Taxonomies,curated-400;openalex:llm-mas,26,1.0,http://arxiv.org/abs/2402.03578,2402.03578,papers_extra/multi-agent-triaged/0378_2402.03578,papers_extra/multi-agent-triaged/0378_2402.03578/paper.pdf,papers_extra/multi-agent-triaged/0378_2402.03578/source,present,present,batch-03,keep,Retained after batch review.
379,2404.04834,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead",He et al,2024,candidate,survey,Surveys and Taxonomies,curated-400;openalex:llm-mas;openalex:planning;openalex:reasoning;openalex:software-agents,97,1.0,https://doi.org/10.1145/3712003,2404.04834,papers_extra/multi-agent-triaged/0379_2404.04834,papers_extra/multi-agent-triaged/0379_2404.04834/paper.pdf,papers_extra/multi-agent-triaged/0379_2404.04834/source,present,present,batch-03,keep,Retained after batch review.
380,2308.11432,A Survey on Large Language Model based Autonomous Agents,Wang et al,2023,candidate,survey,Surveys and Taxonomies,arxiv:llm-agent-surveys;curated-400;openalex:agent-benchmarks;openalex:computer-control;openalex:computer-use;openalex:debate;openalex:function-calling;openalex:gui-agents;openalex:llm-mas-surveys;openalex:minecraft-agents;openalex:mobile-agents;openalex:orchestration;openalex:reasoning;openalex:robot-collaboration;openalex:scientific-agents;openalex:society;openalex:swe-benchmarks;openalex:tool-use;openalex:web-agents,994,1.0,https://arxiv.org/abs/2308.11432,2308.11432,papers_extra/multi-agent-triaged/0380_2308.11432,papers_extra/multi-agent-triaged/0380_2308.11432/paper.pdf,papers_extra/multi-agent-triaged/0380_2308.11432/source,present,present,batch-03,keep,Retained after batch review.
381,2511.07448,Large Language Models for Scientific Idea Generation: A Creativity-Centered Survey,Shahhosseini et al,2025,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,2511.07448,papers_extra/multi-agent-triaged/0381_2511.07448,papers_extra/multi-agent-triaged/0381_2511.07448/paper.pdf,papers_extra/multi-agent-triaged/0381_2511.07448/source,present,present,batch-03,keep,Retained after batch review.
382,2503.24047,Towards Scientific Intelligence: A Survey of LLM-based Scientific Agents,Ren et al,2025,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,2503.24047,papers_extra/multi-agent-triaged/0382_2503.24047,papers_extra/multi-agent-triaged/0382_2503.24047/paper.pdf,papers_extra/multi-agent-triaged/0382_2503.24047/source,present,present,batch-03,keep,Retained after batch review.
383,2309.07864,The Rise and Potential of Large Language Model Based Agents: A Survey,Xi et al,2023,candidate,survey,Surveys and Taxonomies,arxiv:llm-agent-surveys;arxiv:society;curated-400;openalex:classical-acl;openalex:frameworks;openalex:llm-mas-surveys;openalex:minecraft-agents;openalex:society;openalex:swe-benchmarks,248,1.0,https://arxiv.org/abs/2309.07864,2309.07864,papers_extra/multi-agent-triaged/0383_2309.07864,papers_extra/multi-agent-triaged/0383_2309.07864/paper.pdf,papers_extra/multi-agent-triaged/0383_2309.07864/source,present,present,batch-03,keep,Retained after batch review.
384,1810.05587,A Survey and Critique of Multiagent Deep Reinforcement Learning,Hernandez-Leal et al,2019,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,1810.05587,papers_extra/multi-agent-triaged/0384_1810.05587,papers_extra/multi-agent-triaged/0384_1810.05587/paper.pdf,papers_extra/multi-agent-triaged/0384_1810.05587/source,present,present,batch-03,keep,Retained after batch review.
385,DOI:10.1038/s43588-025-00811-y,Rethinking Chemical Research in the Age of Large Language Models,MacKnight et al,2025,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,"Credible domain roadmap for LLM-enabled chemistry workflows and agents; may be adjacent rather than MAS-specific, but survey/positioning value warrants deeper review rather than pruning."
386,2505.04651,"Scientific Hypothesis Generation and Validation: Methods, Datasets, and Future Directions",Kulkarni et al,2025,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,2505.04651,papers_extra/multi-agent-triaged/0386_2505.04651,papers_extra/multi-agent-triaged/0386_2505.04651/paper.pdf,papers_extra/multi-agent-triaged/0386_2505.04651/source,present,present,batch-03,keep,Retained after batch review.
387,DOI:10.1109/TSMCC.2007.913919,A Comprehensive Survey of Multi-Agent Reinforcement Learning,Busoniu et al,2008,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,Established MARL survey with direct relevance to multi-agent foundations and taxonomy; keep as corpus anchor.
388,DOI:10.1007/s10458-005-2631-2,Cooperative Multi-Agent Learning: The State of the Art,Panait & Luke,2005,candidate,survey,Surveys and Taxonomies,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,Classic survey of cooperative multi-agent learning; directly relevant as a foundation for coordination and learning in MAS.
389,2311.08152,Towards reasoning in large language models via multi-agent peer review collaboration,Xu et al,2023,candidate,survey,Surveys and Taxonomies,curated-400;openalex:collaboration,3,1.0,http://arxiv.org/abs/2311.08152,2311.08152,papers_extra/multi-agent-triaged/0389_2311.08152,papers_extra/multi-agent-triaged/0389_2311.08152/paper.pdf,papers_extra/multi-agent-triaged/0389_2311.08152/source,present,present,batch-03,keep,Retained after batch review.
390,Vicinagearth,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",Li et al,2024,candidate,survey,Surveys and Taxonomies,curated-400;openalex:frameworks;openalex:llm-mas;openalex:llm-mas-surveys;openalex:planning;openalex:reasoning;openalex:surveys,222,1.0,https://doi.org/10.1007/s44336-024-00009-2,,,,,unresolved,unavailable,batch-08,keep,"Direct LLM-based MAS survey with high citation signal and broad taxonomy of workflows, infrastructure, applications, and challenges."
391,Wiley,An Introduction to MultiAgent Systems,Wooldridge,2002,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,Canonical textbook-level foundation for multi-agent systems; essential anchor despite not being LLM-specific.
392,Cambridge 2009,"Multiagent Systems: Algorithmic, Game-Theoretic, and Logical Foundations",Shoham & Leyton-Brown,2009,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400;local-bib,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,"Canonical MAS textbook covering algorithmic, game-theoretic, and logical foundations; strong anchor for the field map."
393,2311.03220,Alympics: Language Agents Meet Game Theory,Mao et al,2023,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,2311.03220,papers_extra/multi-agent-triaged/0393_2311.03220,papers_extra/multi-agent-triaged/0393_2311.03220/paper.pdf,papers_extra/multi-agent-triaged/0393_2311.03220/source,present,present,batch-03,keep,Retained after batch review.
394,DOI:10.1145/191246.191322,KQML as an Agent Communication Language,Finin et al,1994,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,Foundational agent communication language paper; directly relevant to communication protocols and MAS infrastructure.
395,KER 10(2),Intelligent Agents: Theory and Practice,Wooldridge & Jennings,1995,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,Classic intelligent-agent theory paper by Wooldridge and Jennings; foundational for agent concepts and MAS positioning.
396,DOI:10.1109/TC.1980.1675516,The Contract Net Protocol: High-Level Communication and Control in a Distributed Problem Solver,Smith,1980,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,Seminal distributed problem-solving and task-allocation protocol; highly relevant MAS foundation.
397,Nous 25(4),Teamwork,Cohen & Levesque,1991,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,"Foundational formal account of teamwork and joint intention, important for coordination concepts in MAS."
398,Market-based Control,Market-Oriented Programming: Some Early Lessons,Wellman,1993,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-08,keep,Classic market-based control/MAS coordination work; relevant as a foundation for distributed allocation mechanisms.
399,AIJ 86(2),SharedPlans: A Model of Collaborative Plans and Intentions,Grosz & Kraus,1996,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-09,keep,Classic collaborative planning and intention foundation; highly relevant MAS anchor despite unresolved local artifact.
400,FIPA SC00061,FIPA ACL Message Structure Specification,FIPA,2002,candidate,anchor,Classical MAS and Game-Theoretic Foundations,curated-400,0,1.0,,,,,,unresolved,unavailable,batch-09,keep,Foundational agent communication language specification; useful classical MAS anchor for communication protocols.
401,https://doi.org/10.1145/3640457.3688061,A Hybrid Multi-Agent Conversational Recommender System with LLM and Search Engine in E-commerce,"Guangtao Nie, Rong Zhi, Xiaofan Yan et al",2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:collaboration;openalex:llm-mas,11,0.92,https://doi.org/10.1145/3640457.3688061,,,,,unresolved,unavailable,batch-09,keep,ACM/industry-style LLM multi-agent recommender with latency and scalability motivation; relevant enough for deeper review.
403,https://doi.org/10.3390/smartcities8010019,LLM Agents for Smart City Management: Enhancing Decision Support Through Multi-Agent AI Systems,"Anna Kalyuzhnaya, Sergey Mityagin, Elizaveta Lutsenko et al",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,33,0.92,https://doi.org/10.3390/smartcities8010019,,,,,unresolved,unavailable,batch-09,keep,Application-oriented LLM agent/MAS smart-city paper with citations and journal venue; may be narrow but plausibly useful.
404,2402.17161,Large Language Model for Participatory Urban Planning,"Zhou, Zhilun, Lin, Yuming, Jin, Depeng et al",2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:planning,11,0.92,http://arxiv.org/abs/2402.17161,2402.17161,papers_extra/multi-agent-triaged/0404_2402.17161,papers_extra/multi-agent-triaged/0404_2402.17161/paper.pdf,papers_extra/multi-agent-triaged/0404_2402.17161/source,present,present,batch-03,keep,Retained after batch review.
405,2410.02958,AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,"Trirat, Patara, Jeong, Wonyong, Hwang, Sung Ju",2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:frameworks,4,0.92,http://arxiv.org/abs/2410.02958,2410.02958,papers_extra/multi-agent-triaged/0405_2410.02958,papers_extra/multi-agent-triaged/0405_2410.02958/paper.pdf,papers_extra/multi-agent-triaged/0405_2410.02958/source,present,present,batch-03,keep,Retained after batch review.
406,https://doi.org/10.35542/osf.io/kq8zh_v1,Automating Thematic Analysis with Multi-Agent LLM Systems,"Sreecharan Sankaranarayanan, Conrad Borchers, Sebastian Simon et al",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,1,0.92,https://doi.org/10.35542/osf.io/kq8zh_v1,,,,,unresolved,unavailable,batch-09,keep,OSF/preprint-style artifact but directly studies multi-agent LLM thematic analysis; plausible relevance warrants follow-up rather than pruning.
407,https://doi.org/10.1109/airc64931.2025.11077480,LLM-Powered Multi-Agent Systems: A Technical Framework for Collaborative Intelligence Through Optimized Knowledge Retrieval and Communication,Vineeth Gogineni,2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:frameworks,1,0.92,https://doi.org/10.1109/airc64931.2025.11077480,,,,,unresolved,unavailable,batch-09,keep,"Generic framework claims and limited citations, but IEEE proceedings DOI and direct LLM-MAS framing make it a conservative keep for deeper review."
408,2604.23579,CineAGI: Character-Consistent Movie Creation through LLM-Orchestrated Multi-Modal Generation and Cross-Scene Integration,Tianyidan Xie et al,2026,candidate,trend,LLM Multi-Agent Frameworks and Coordination,arxiv:llm-multi-agent,0,0.89,https://arxiv.org/abs/2604.23579,2604.23579,papers_extra/multi-agent-triaged/0408_2604.23579,papers_extra/multi-agent-triaged/0408_2604.23579/paper.pdf,papers_extra/multi-agent-triaged/0408_2604.23579/source,present,present,batch-03,keep,Retained after batch review.
409,2604.07911,Dynamic Attentional Context Scoping: Agent-Triggered Focus Sessions for Isolated Per-Agent Steering in Multi-Agent LLM Orchestration,"Patel, Nickson",2026,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:orchestration,0,0.89,http://arxiv.org/abs/2604.07911,2604.07911,papers_extra/multi-agent-triaged/0409_2604.07911,papers_extra/multi-agent-triaged/0409_2604.07911/paper.pdf,papers_extra/multi-agent-triaged/0409_2604.07911/source,present,present,batch-03,keep,Retained after batch review.
410,https://doi.org/10.1109/tccn.2025.3528892,AutoHMA-LLM: Efficient Task Coordination and Execution in Heterogeneous Multi-Agent Systems Using Hybrid Large Language Models,"Tingting Yang, Ping Feng, Qixin Guo et al",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:collaboration;openalex:llm-mas;openalex:robot-collaboration,24,0.92,https://doi.org/10.1109/tccn.2025.3528892,,,,,unresolved,unavailable,batch-09,keep,IEEE Transactions paper with citations; directly addresses heterogeneous MAS coordination with LLM planners and execution agents.
411,https://doi.org/10.2139/ssrn.4921381,Metaopenfoam: An Llm-Based Multi-Agent Framework for Cfd,"Yuxuan Chen, Xu Zhu, Hua Zhou et al",2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:collaboration;openalex:frameworks,14,0.92,https://doi.org/10.2139/ssrn.4921381,,,,,unresolved,unavailable,batch-09,keep,"SSRN/domain application, but title and citations indicate a concrete LLM multi-agent CFD framework; not obvious noise."
413,https://doi.org/10.18653/v1/2025.emnlp-main.623,Understanding the Information Propagation Effects of Communication Topologies in LLM-based Multi-Agent Systems,"Xu Shen, Yixin Liu, Yiwei Dai et al",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas;openalex:topology,4,0.92,https://doi.org/10.18653/v1/2025.emnlp-main.623,,,,,unresolved,unavailable,batch-09,keep,EMNLP main paper on communication topology and information/error propagation; strong multi-agent specificity and clear corpus relevance.
414,https://doi.org/10.1145/3696410.3714595,Thematic-LM: A LLM-based Multi-agent System for Large-scale Thematic Analysis,"Tingrui Qiao, Caroline Walker, Chris Cunningham et al",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,10,0.92,https://doi.org/10.1145/3696410.3714595,,,,,unresolved,unavailable,batch-09,keep,ACM paper on multi-agent thematic analysis with a concrete large-scale workflow; application-specific but credible.
417,2604.24807,From Prototype to Classroom: An Intelligent Tutoring System for Quantum Education,Iizalaarab Elhaimeur et al,2026,candidate,trend,LLM Multi-Agent Frameworks and Coordination,arxiv:llm-multi-agent,0,0.83,https://arxiv.org/abs/2604.24807,2604.24807,papers_extra/multi-agent-triaged/0417_2604.24807,papers_extra/multi-agent-triaged/0417_2604.24807/paper.pdf,papers_extra/multi-agent-triaged/0417_2604.24807/source,present,present,batch-03,keep,Retained after batch review.
418,2602.05446,DiLLS: Interactive Diagnosis of LLM-based Multi-agent Systems via Layered Summary of Agent Behaviors,Rui Sheng et al,2026,candidate,trend,LLM Multi-Agent Frameworks and Coordination,arxiv:llm-mas,0,0.83,https://arxiv.org/abs/2602.05446,2602.05446,papers_extra/multi-agent-triaged/0418_2602.05446,papers_extra/multi-agent-triaged/0418_2602.05446/paper.pdf,papers_extra/multi-agent-triaged/0418_2602.05446/source,present,present,batch-03,keep,Retained after batch review.
419,https://doi.org/10.3389/fhumd.2025.1579166,Human-artificial interaction in the age of agentic AI: a system-theoretical approach,"Uwe M. Borghoff, Paolo Bottoni, Remo Pareschi",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:emergent-communication;openalex:human-ai-coordination;openalex:topology,37,0.92,https://doi.org/10.3389/fhumd.2025.1579166,,,,,unresolved,unavailable,batch-09,keep,"Conceptual and HCI-oriented rather than core LLM-MAS, but cited and relevant to human/AI coordination frameworks."
420,2504.02051,Self-Resource Allocation in Multi-Agent LLM Systems,"Amayuelas, Alfonso, Yang, Jingbo, Agashe, Saaket et al",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas;openalex:orchestration,3,0.92,http://arxiv.org/abs/2504.02051,2504.02051,papers_extra/multi-agent-triaged/0420_2504.02051,papers_extra/multi-agent-triaged/0420_2504.02051/paper.pdf,papers_extra/multi-agent-triaged/0420_2504.02051/source,present,present,batch-03,keep,Retained after batch review.
421,https://doi.org/10.1039/d4dd00013g,ProtAgents: protein discovery via large language model multi-agent collaborations combining physics and machine learning,"Alireza Ghafarollahi, Markus J. Buehler",2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:collaboration,78,0.92,https://doi.org/10.1039/d4dd00013g,,,,,unresolved,unavailable,batch-09,keep,Well-cited domain application using LLM multi-agent collaboration for protein/materials discovery; credible and practically informative.
422,https://doi.org/10.3389/frai.2025.1593017,Multi-agent systems powered by large language models: applications in swarm intelligence,"Cristian Jimenez-Romero, Alper Yegenoglu, Christian Blum",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:emergent-communication,15,0.92,https://doi.org/10.3389/frai.2025.1593017,,,,,unresolved,unavailable,batch-09,keep,Journal paper connecting LLM-driven agents to swarm simulations; directly relevant to MAS behavior despite applied scope.
423,https://doi.org/10.52202/079017-4397,Reflective Multi-Agent Collaboration based on Large Language Models,"Xiaohe Bo, Xu Chen, Quanyu Dai et al",2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:collaboration,12,0.92,https://doi.org/10.52202/079017-4397,,,,,unresolved,unavailable,batch-09,keep,NeurIPS proceedings paper on reflective LLM multi-agent collaboration; strong enough to keep even without local artifact.
424,https://doi.org/10.1109/tccn.2024.3482354,Semantic Information Extraction and Multi-Agent Communication Optimization Based on Generative Pre-Trained Transformer,"Li Zhou, Xinfeng Deng, Zhe Wang et al",2024,candidate,core,LLM Multi-Agent Frameworks and Coordination,openalex:collaboration,12,0.92,https://doi.org/10.1109/tccn.2024.3482354,,,,,unresolved,unavailable,batch-09,keep,IEEE Transactions paper focused on LLM-assisted semantic communication optimization among agents; relevant communication mechanism.
425,https://doi.org/10.1109/access.2025.3548451,LLM-Driven Social Influence for Cooperative Behavior in Multi-Agent Systems,"J. de Curtò, I. de Zarzà",2025,candidate,trend,LLM Multi-Agent Frameworks and Coordination,openalex:llm-mas,10,0.92,https://doi.org/10.1109/access.2025.3548451,,,,,unresolved,unavailable,batch-09,keep,IEEE Access theoretical/application paper on LLM-driven influence in MAS; potentially narrow but relevant to cooperation mechanisms.
