rank,id,title,status,coverage_status,review_batch,decision,note
258,2510.26498,A Multi-agent Large Language Model Framework to Automatically Assess Performance of a Clinical AI Triage Tool,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
259,DOI:10.1038/s41746-025-01550-0,Enhancing Diagnostic Capability with Multi-Agents Conversational Large Language Models,candidate,reviewed-retained,batch-08,keep,"Direct LLM multi-agent diagnostic framework with single-agent comparisons, subgroup analysis over agent roles/counts, and credible medical venue; limitations around token-budget confounding need deeper review."
260,2509.20067,MACD: Multi-Agent Clinical Diagnosis with Self-Learned Knowledge for LLM,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
261,2509.17353,Medical AI Consensus: A Multi-Agent Framework for Radiology Report Generation and Evaluation,candidate,removed-low-quality,previous-canonical,remove,"Thin radiology consensus framework; one weak LLM-judge case study, no real baselines or ablations."
262,2510.10461,MedCoAct: Confidence-Aware Multi-Agent Collaboration for Complete Clinical Decision,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
263,2505.15047,PiFlow: Principle-aware Scientific Discovery with Multi-Agent Collaboration,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
264,2404.14777,ClinicalAgent: Clinical Trial Multi-Agent System with Large Language Model-based Reasoning,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
265,2408.07531,Development of a Large Language Model-based Multi-Agent Clinical Decision Support System for KTAS-Based Triage and Treatment Planning in Emergency Departments,candidate,removed-low-quality,previous-canonical,remove,Small simulated ED triage study with one physician evaluator and weak statistics for broad clinical claims.
266,2412.16833,KG4Diagnosis: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Medical Diagnosis,candidate,removed-low-quality,previous-canonical,remove,System proposal; benchmark/training/evaluation explicitly left as future work.
267,2309.03736,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,candidate,removed-low-quality,previous-canonical,remove,TradingGPT draft says prompt design is current stage and ablations are future; no actual trading evaluation.
268,2310.03302,MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
269,2409.05556,SciAgents: Automating Scientific Discovery through Multi-Agent Intelligent Graph Reasoning,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
270,2509.14998,A Knowledge-driven Adaptive Collaboration of LLMs for Enhancing Medical Decision-making,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
271,2410.05080,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
272,2404.15155,MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
273,2402.18679,Data Interpreter: An LLM Agent For Data Science,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
274,2404.07738,ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
275,DOI:10.1038/s42256-025-01066-y,Large Language Models to Accelerate Organic Chemistry Synthesis,candidate,removed-low-quality,batch-08,remove,Credible chemistry LLM paper but metadata and quick lookup indicate a fine-tuned chemistry assistant/model for synthesis rather than a multi-agent system or coordination study.
276,2505.14148,MM-Agent: LLM as Agents for Real-world Mathematical Modeling Problem,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
277,2311.10537,MedAgents: Large Language Models as Collaborators for Zero-shot Medical Reasoning,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
278,DOI:10.1038/s44387-026-00111-4,"Verification-first Autonomous Catalysis: Large Language Models as Infrastructure for Mechanism, Computation, and Experiment",watchlist,reviewed-needs-followup,batch-08,needs_followup,Very recent autonomous-catalysis perspective with only sparse metadata available locally; plausibly relevant to scientific agent infrastructure but multi-agent specificity cannot be judged fairly from the artifact.
279,2402.05015,A Sober Look at LLMs for Material Discovery: Are They Actually Good for Bayesian Optimization Over Molecules?,candidate,removed-low-quality,batch-02,remove,"False positive for this map: careful LLM/materials Bayesian-optimization study, but no agent or multi-agent mechanism and weak bridge value for LLM-driven MAS literature."
280,DOI:10.1038/s41467-024-54457-x,An Automatic End-to-End Chemical Synthesis Development Platform Powered by Large Language Models,candidate,reviewed-retained,batch-08,keep,"Credible automated synthesis platform using LLM orchestration; multi-agent specificity is uncertain from metadata, but it is plausibly useful for scientific/domain agent coverage and needs deeper review."
281,2406.01637,Teams of LLM Agents can Exploit Zero-Day Vulnerabilities,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
282,2502.11127,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
283,2507.06134,OpenAgentSafety: A Comprehensive Framework for Evaluating Real-World AI Agent Safety,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
284,2503.04957,SafeArena: Evaluating the Safety of Autonomous Web Agents,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
285,2604.15597,LLMs Corrupt Your Documents When You Delegate,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
286,2509.14285,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,watchlist,removed-low-quality,batch-02,remove,Small handcrafted prompt-injection defense study; reports perfect mitigation on 55 attacks/400 instances without robust agent benchmarks or stress tests.
287,2506.00641,AgentAuditor: Human-Level Safety and Security Evaluation for LLM Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
288,2312.14197,Benchmarking and Defending Against Indirect Prompt Injection Attacks on Large Language Models,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
289,2412.14470,Agent-SafetyBench: Evaluating the Safety of LLM Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
290,2410.09024,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
291,2403.02691,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
292,2401.10019,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
293,2404.13161,CyberSecEval 2: A Wide-Ranging Cybersecurity Evaluation Suite for Large Language Models,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
294,2510.16492,Check Yourself Before You Wreck Yourself: Selectively Quitting Improves LLM Agent Safety,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
295,2506.01055,Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
296,2302.12173,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
297,2406.13352,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
298,2602.22724,AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification,watchlist,reviewed-retained,batch-02,keep,Retained after batch review.
299,2603.11853,"OpenClaw PRISM: A Zero-Fork, Defense-in-Depth Runtime Security Layer for Tool-Augmented LLM Agents",watchlist,removed-low-quality,previous-canonical,remove,OpenClaw-specific engineering draft with preliminary hand-authored benchmark; final end-to-end evaluation still future.
300,2412.14093,Alignment Faking in Large Language Models,candidate,removed-low-quality,batch-02,remove,"High-quality model-safety paper, but it studies single-model alignment faking rather than agent or multi-agent mechanisms; weak bridge value for this corpus."
301,2406.03007,BadAgent: Inserting and Activating Backdoor Attacks in LLM Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
302,2401.05566,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,candidate,removed-low-quality,batch-02,remove,Backdoored/deceptive LLM training study despite the title; no LLM-agent or multi-agent system contribution.
303,2404.13208,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
304,2412.16682,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
305,2402.10753,ToolSword: Unveiling Safety Issues of Large Language Models in Tool Learning Across Three Stages,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
306,2305.15324,Model Evaluation for Extreme Risks,candidate,removed-low-quality,batch-02,remove,Broad extreme-risk evaluation framework/policy paper with no agent or MAS technical contribution or empirical multi-agent evidence.
307,2507.08270,Agent Safety Alignment via Reinforcement Learning,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
308,2507.15219,PromptArmor: Simple yet Effective Prompt Injection Defenses,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
309,2309.15817,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
310,2602.20156,Skill-Inject: Measuring Agent Vulnerability to Skill File Attacks,watchlist,reviewed-retained,batch-02,keep,Retained after batch review.
311,2312.06942,AI Control: Improving Safety Despite Intentional Subversion,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
312,2307.03718,Frontier AI Regulation: Managing Emerging Risks to Public Safety,candidate,removed-low-quality,previous-canonical,remove,"Governance/policy paper, not LLM-agent or multi-agent research."
313,2412.17618,Dynamic Safety Cases for Frontier AI,candidate,removed-low-quality,previous-canonical,remove,Safety-case management/governance proposal with no agent/MAS technical or empirical contribution.
314,2410.21572,Safety Cases for Frontier AI,candidate,removed-low-quality,previous-canonical,remove,Broad governance argument paper; no agent/MAS specificity or benchmark contribution.
315,2401.11880,"Psysafe: A comprehensive framework for psychological-based attack, defense, and evaluation of multi-agent system safety",candidate,reviewed-retained,batch-02,keep,Retained after batch review.
316,1605.07736,Learning Multiagent Communication with Backpropagation (CommNet),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
317,1605.06676,Learning to Communicate with Deep Multi-Agent RL (RIAL/DIAL),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
318,1612.07182,Multi-Agent Cooperation and the Emergence of (Natural) Language,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
319,1702.03037,Multi-Agent Reinforcement Learning in Sequential Social Dilemmas,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
320,1705.08926,Counterfactual Multi-Agent Policy Gradients (COMA),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
321,1703.04908,Emergence of Grounded Compositional Language in Multi-Agent Populations,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
322,1803.11485,QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
323,1706.05296,Value-Decomposition Networks for Cooperative Multi-Agent Learning (VDN),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
324,1912.06680,Dota 2 with Large Scale Deep Reinforcement Learning (OpenAI Five),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
325,DOI:10.1038/s41586-019-1724-z,Grandmaster Level in StarCraft II using Multi-Agent Reinforcement Learning (AlphaStar),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
326,1810.11187,TarMAC: Targeted Multi-Agent Communication,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
327,1909.07528,Emergent Tool Use from Multi-Agent Autocurricula,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
328,2103.01955,The Surprising Effectiveness of PPO in Cooperative Multi-Agent Games (MAPPO),seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
329,2502.18439,MAPoRL: Multi-Agent Post-Co-Training for Collaborative Large Language Models with Reinforcement Learning,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
330,NeurIPS 2019,Biases for Emergent Communication in Multi-agent Reinforcement Learning,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
331,1703.06182,Deep Decentralized Multi-task Multi-Agent Reinforcement Learning under Partial Observability,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
332,1703.10069,Multiagent Bidirectionally-Coordinated Nets for Learning to Play StarCraft Combat Games,candidate,reviewed-retained,batch-02,keep,Retained after batch review.
333,1702.08887,Stabilising Experience Replay for Deep Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
334,1710.03748,Emergent Complexity via Multi-Agent Competition,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
335,2011.09533,Is Independent Learning All You Need in the StarCraft Multi-Agent Challenge?,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
336,2005.13625,Parameter Sharing is Surprisingly Useful for Multi-Agent Deep Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
337,ICML 1993,Multi-agent Reinforcement Learning: Independent versus Cooperative Agents,candidate,reviewed-retained,batch-08,keep,"Classic MARL foundation contrasting independent and cooperative learning, directly relevant as an anchor for multi-agent learning mechanisms."
338,1802.05438,Mean Field Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
339,1810.02912,Actor-Attention-Critic for Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
340,1811.01458,Bayesian Action Decoder for Deep Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
341,1905.05408,QTRAN: Learning to Factorize with Transformation for Cooperative Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
342,1810.08647,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
343,2003.06709,Deep Multi-Agent Reinforcement Learning for Decentralized Continuous Cooperative Control,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
344,2007.02529,Learning Implicit Credit Assignment for Multi-Agent Actor-Critic,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
345,2006.10800,Weighted QMIX: Expanding Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
346,2007.12322,DOP: Off-Policy Multi-Agent Decomposed Policy Gradients,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
347,2205.14953,Multi-Agent Reinforcement Learning is a Sequence Modeling Problem,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
348,ICML 1994,Markov Games as a Framework for Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-08,keep,Foundational formal framework for multi-agent reinforcement learning and stochastic games; high anchor value despite no local artifact.
349,ICML 2000,An Algorithm for Distributed Reinforcement Learning in Cooperative Multi-Agent Systems,candidate,reviewed-retained,batch-08,keep,Classic cooperative MARL algorithm paper with direct multi-agent specificity and historical foundation value.
350,IROS 2007,Hysteretic Q-Learning: An Algorithm for Decentralized Reinforcement Learning in Cooperative Multi-Agent Teams,candidate,reviewed-retained,batch-08,keep,Recognized decentralized cooperative MARL method addressing non-stationarity and team learning; strong anchor for MARL foundations.
351,1804.03980,Emergent Communication through Negotiation,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
352,ICLR 2020,On the Interaction Between Supervision and Self-Play in Emergent Communication,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
353,2506.02718,Heterogeneous Group-Based Reinforcement Learning for LLM-based Multi-Agent Systems,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
354,1808.10696,How Agents See Things: On Visual Representations in an Emergent Language Game,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
355,1809.00549,Emergence of Communication in an Interactive World with Consistent Speakers,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
356,1906.02403,Ease-of-Teaching and Language Structure from Emergent Communication,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
357,2405.11106,Llm-based multi-agent reinforcement learning: Current and future directions,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
358,2404.03869,Heterogeneous Multi-Agent Reinforcement Learning for Zero-Shot Scalable Collaboration,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
359,1603.01121,Deep Reinforcement Learning from Self-Play in Imperfect-Information Games,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
360,1609.05559,Opponent Modeling in Deep Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
361,1711.09846,Population Based Training of Neural Networks,candidate,removed-low-quality,batch-03,remove,"High-quality population-based optimization paper, but not LLM-driven or multi-agent-system research; weak anchor value for this corpus."
362,1803.08884,Inequity Aversion Improves Cooperation in Intertemporal Social Dilemmas,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
363,1807.01281,Human-level Performance in First-person Multiplayer Games with Population-based Deep Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
364,1908.09453,OpenSpiel: A Framework for Reinforcement Learning in Games,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
365,2004.09124,Compositionality and Generalization in Emergent Languages,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
366,2107.12808,Open-Ended Learning Leads to Generally Capable Agents,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
367,2506.24119,SPIRAL: Self-Play on Zero-Sum Games Incentivizes Reasoning via Multi-Agent Multi-Turn Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
368,1712.01815,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,watchlist,reviewed-retained,batch-03,keep,Retained after batch review.
369,Proceedings of ICLR,Learning to schedule communication in multi-agent reinforcement learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
370,2410.18636,Multi-agent cooperation through learning-aware policy gradients,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
371,2006.02419,Emergent Multi-Agent Communication in the Deep Learning Era,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
372,2402.01680,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,seed,seed-existing-reviewed-corpus,,seed,Seed paper retained in reviewed corpus.
373,2501.06322,Multi-Agent Collaboration Mechanisms: A Survey of LLMs,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
374,2502.14321,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
375,2505.21116,Creativity in LLM-based Multi-Agent Systems: A Survey,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
376,2504.01963,LLMs Working in Harmony: A Survey on the Technological Aspects of Building Effective LLM-Based Multi Agent Systems,candidate,removed-low-quality,previous-canonical,remove,"Generic low-signal LLM-MAS survey, redundant with stronger survey rows."
377,2412.17481,A Survey on LLM-based Multi-Agent System: Recent Advances and New Frontiers in Application,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
378,2402.03578,LLM Multi-Agent Systems: Challenges and Open Problems,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
379,2404.04834,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead",candidate,reviewed-retained,batch-03,keep,Retained after batch review.
380,2308.11432,A Survey on Large Language Model based Autonomous Agents,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
381,2511.07448,Large Language Models for Scientific Idea Generation: A Creativity-Centered Survey,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
382,2503.24047,Towards Scientific Intelligence: A Survey of LLM-based Scientific Agents,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
383,2309.07864,The Rise and Potential of Large Language Model Based Agents: A Survey,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
384,1810.05587,A Survey and Critique of Multiagent Deep Reinforcement Learning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
385,DOI:10.1038/s43588-025-00811-y,Rethinking Chemical Research in the Age of Large Language Models,candidate,reviewed-retained,batch-08,keep,"Credible domain roadmap for LLM-enabled chemistry workflows and agents; may be adjacent rather than MAS-specific, but survey/positioning value warrants deeper review rather than pruning."
386,2505.04651,"Scientific Hypothesis Generation and Validation: Methods, Datasets, and Future Directions",candidate,reviewed-retained,batch-03,keep,Retained after batch review.
387,DOI:10.1109/TSMCC.2007.913919,A Comprehensive Survey of Multi-Agent Reinforcement Learning,candidate,reviewed-retained,batch-08,keep,Established MARL survey with direct relevance to multi-agent foundations and taxonomy; keep as corpus anchor.
388,DOI:10.1007/s10458-005-2631-2,Cooperative Multi-Agent Learning: The State of the Art,candidate,reviewed-retained,batch-08,keep,Classic survey of cooperative multi-agent learning; directly relevant as a foundation for coordination and learning in MAS.
389,2311.08152,Towards reasoning in large language models via multi-agent peer review collaboration,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
390,Vicinagearth,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",candidate,reviewed-retained,batch-08,keep,"Direct LLM-based MAS survey with high citation signal and broad taxonomy of workflows, infrastructure, applications, and challenges."
391,Wiley,An Introduction to MultiAgent Systems,candidate,reviewed-retained,batch-08,keep,Canonical textbook-level foundation for multi-agent systems; essential anchor despite not being LLM-specific.
392,Cambridge 2009,"Multiagent Systems: Algorithmic, Game-Theoretic, and Logical Foundations",candidate,reviewed-retained,batch-08,keep,"Canonical MAS textbook covering algorithmic, game-theoretic, and logical foundations; strong anchor for the field map."
393,2311.03220,Alympics: Language Agents Meet Game Theory,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
394,DOI:10.1145/191246.191322,KQML as an Agent Communication Language,candidate,reviewed-retained,batch-08,keep,Foundational agent communication language paper; directly relevant to communication protocols and MAS infrastructure.
395,KER 10(2),Intelligent Agents: Theory and Practice,candidate,reviewed-retained,batch-08,keep,Classic intelligent-agent theory paper by Wooldridge and Jennings; foundational for agent concepts and MAS positioning.
396,DOI:10.1109/TC.1980.1675516,The Contract Net Protocol: High-Level Communication and Control in a Distributed Problem Solver,candidate,reviewed-retained,batch-08,keep,Seminal distributed problem-solving and task-allocation protocol; highly relevant MAS foundation.
397,Nous 25(4),Teamwork,candidate,reviewed-retained,batch-08,keep,"Foundational formal account of teamwork and joint intention, important for coordination concepts in MAS."
398,Market-based Control,Market-Oriented Programming: Some Early Lessons,candidate,reviewed-retained,batch-08,keep,Classic market-based control/MAS coordination work; relevant as a foundation for distributed allocation mechanisms.
399,AIJ 86(2),SharedPlans: A Model of Collaborative Plans and Intentions,candidate,reviewed-retained,batch-09,keep,Classic collaborative planning and intention foundation; highly relevant MAS anchor despite unresolved local artifact.
400,FIPA SC00061,FIPA ACL Message Structure Specification,candidate,reviewed-retained,batch-09,keep,Foundational agent communication language specification; useful classical MAS anchor for communication protocols.
401,https://doi.org/10.1145/3640457.3688061,A Hybrid Multi-Agent Conversational Recommender System with LLM and Search Engine in E-commerce,candidate,reviewed-retained,batch-09,keep,ACM/industry-style LLM multi-agent recommender with latency and scalability motivation; relevant enough for deeper review.
402,https://doi.org/10.5281/zenodo.18786200,Agentic AI Project Manager: Multi-Agent Orchestration with Local LLMs,candidate,removed-low-quality,batch-09,remove,Zenodo/OpenAlex-only 2026 project artifact with zero citations and broad implementation claims around CrewAI/local models; obvious low-rigor corpus noise.
403,https://doi.org/10.3390/smartcities8010019,LLM Agents for Smart City Management: Enhancing Decision Support Through Multi-Agent AI Systems,candidate,reviewed-retained,batch-09,keep,Application-oriented LLM agent/MAS smart-city paper with citations and journal venue; may be narrow but plausibly useful.
404,2402.17161,Large Language Model for Participatory Urban Planning,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
405,2410.02958,AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
406,https://doi.org/10.35542/osf.io/kq8zh_v1,Automating Thematic Analysis with Multi-Agent LLM Systems,candidate,reviewed-retained,batch-09,keep,OSF/preprint-style artifact but directly studies multi-agent LLM thematic analysis; plausible relevance warrants follow-up rather than pruning.
407,https://doi.org/10.1109/airc64931.2025.11077480,LLM-Powered Multi-Agent Systems: A Technical Framework for Collaborative Intelligence Through Optimized Knowledge Retrieval and Communication,candidate,reviewed-retained,batch-09,keep,"Generic framework claims and limited citations, but IEEE proceedings DOI and direct LLM-MAS framing make it a conservative keep for deeper review."
408,2604.23579,CineAGI: Character-Consistent Movie Creation through LLM-Orchestrated Multi-Modal Generation and Cross-Scene Integration,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
409,2604.07911,Dynamic Attentional Context Scoping: Agent-Triggered Focus Sessions for Isolated Per-Agent Steering in Multi-Agent LLM Orchestration,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
410,https://doi.org/10.1109/tccn.2025.3528892,AutoHMA-LLM: Efficient Task Coordination and Execution in Heterogeneous Multi-Agent Systems Using Hybrid Large Language Models,candidate,reviewed-retained,batch-09,keep,IEEE Transactions paper with citations; directly addresses heterogeneous MAS coordination with LLM planners and execution agents.
411,https://doi.org/10.2139/ssrn.4921381,Metaopenfoam: An Llm-Based Multi-Agent Framework for Cfd,candidate,reviewed-retained,batch-09,keep,"SSRN/domain application, but title and citations indicate a concrete LLM multi-agent CFD framework; not obvious noise."
412,2411.08063,MatPilot: an LLM-enabled AI Materials Scientist under the Framework of Human-Machine Collaboration,candidate,removed-low-quality,batch-03,remove,Materials-scientist framework/demo with broad AI-scientist claims but no rigorous task benchmark or comparative multi-agent evaluation.
413,https://doi.org/10.18653/v1/2025.emnlp-main.623,Understanding the Information Propagation Effects of Communication Topologies in LLM-based Multi-Agent Systems,candidate,reviewed-retained,batch-09,keep,EMNLP main paper on communication topology and information/error propagation; strong multi-agent specificity and clear corpus relevance.
414,https://doi.org/10.1145/3696410.3714595,Thematic-LM: A LLM-based Multi-agent System for Large-scale Thematic Analysis,candidate,reviewed-retained,batch-09,keep,ACM paper on multi-agent thematic analysis with a concrete large-scale workflow; application-specific but credible.
415,2502.19860,MIND: Towards Immersive Psychological Healing with Multi-agent Inner Dialogue,candidate,removed-low-quality,previous-canonical,remove,High-stakes mental-health claims rest on a tiny human experiment appendix with weak controls.
416,2402.16713,Navigating Complexity: Orchestrated Problem Solving with Multi-Agent LLMs,candidate,removed-low-quality,previous-canonical,remove,Thin orchestration proposal/demo with toy examples and weak quantitative support for broad claims.
417,2604.24807,From Prototype to Classroom: An Intelligent Tutoring System for Quantum Education,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
418,2602.05446,DiLLS: Interactive Diagnosis of LLM-based Multi-agent Systems via Layered Summary of Agent Behaviors,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
419,https://doi.org/10.3389/fhumd.2025.1579166,Human-artificial interaction in the age of agentic AI: a system-theoretical approach,candidate,reviewed-retained,batch-09,keep,"Conceptual and HCI-oriented rather than core LLM-MAS, but cited and relevant to human/AI coordination frameworks."
420,2504.02051,Self-Resource Allocation in Multi-Agent LLM Systems,candidate,reviewed-retained,batch-03,keep,Retained after batch review.
421,https://doi.org/10.1039/d4dd00013g,ProtAgents: protein discovery via large language model multi-agent collaborations combining physics and machine learning,candidate,reviewed-retained,batch-09,keep,Well-cited domain application using LLM multi-agent collaboration for protein/materials discovery; credible and practically informative.
422,https://doi.org/10.3389/frai.2025.1593017,Multi-agent systems powered by large language models: applications in swarm intelligence,candidate,reviewed-retained,batch-09,keep,Journal paper connecting LLM-driven agents to swarm simulations; directly relevant to MAS behavior despite applied scope.
