rank,id,title,status,coverage_status,review_batch,note
253,2504.01848,PaperBench: Evaluating AI's Ability to Replicate AI Research,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
254,2512.08296,Towards a Science of Scaling Agent Systems,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
255,2502.18864,Towards an AI Co-Scientist,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
256,2604.18805,AI Scientists Produce Results Without Reasoning Scientifically,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
257,OpenReview:4QPrXwMQt1,TradingAgents: Multi-Agents LLM Financial Trading Framework,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
258,2510.26498,A Multi-agent Large Language Model Framework to Automatically Assess Performance of a Clinical AI Triage Tool,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
259,DOI:10.1038/s41746-025-01550-0,Enhancing Diagnostic Capability with Multi-Agents Conversational Large Language Models,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
260,2509.20067,MACD: Multi-Agent Clinical Diagnosis with Self-Learned Knowledge for LLM,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
261,2509.17353,Medical AI Consensus: A Multi-Agent Framework for Radiology Report Generation and Evaluation,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
262,2510.10461,MedCoAct: Confidence-Aware Multi-Agent Collaboration for Complete Clinical Decision,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
263,2505.15047,PiFlow: Principle-aware Scientific Discovery with Multi-Agent Collaboration,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
264,2404.14777,ClinicalAgent: Clinical Trial Multi-Agent System with Large Language Model-based Reasoning,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
265,2408.07531,Development of a Large Language Model-based Multi-Agent Clinical Decision Support System for KTAS-Based Triage and Treatment Planning in Emergency Departments,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
266,2412.16833,KG4Diagnosis: A Hierarchical Multi-Agent LLM Framework with Knowledge Graph Enhancement for Medical Diagnosis,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
267,2309.03736,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
268,2310.03302,MLAgentBench: Evaluating Language Agents on Machine Learning Experimentation,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
269,2409.05556,SciAgents: Automating Scientific Discovery through Multi-Agent Intelligent Graph Reasoning,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
270,2509.14998,A Knowledge-driven Adaptive Collaboration of LLMs for Enhancing Medical Decision-making,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
271,2410.05080,ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
272,2404.15155,MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
273,2402.18679,Data Interpreter: An LLM Agent For Data Science,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
274,2404.07738,ResearchAgent: Iterative Research Idea Generation over Scientific Literature with Large Language Models,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
275,DOI:10.1038/s42256-025-01066-y,Large Language Models to Accelerate Organic Chemistry Synthesis,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
276,2505.14148,MM-Agent: LLM as Agents for Real-world Mathematical Modeling Problem,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
277,2311.10537,MedAgents: Large Language Models as Collaborators for Zero-shot Medical Reasoning,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
278,DOI:10.1038/s44387-026-00111-4,"Verification-first Autonomous Catalysis: Large Language Models as Infrastructure for Mechanism, Computation, and Experiment",watchlist,assigned-for-review,batch-08.csv,Assigned to a review batch.
279,2402.05015,A Sober Look at LLMs for Material Discovery: Are They Actually Good for Bayesian Optimization Over Molecules?,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
280,DOI:10.1038/s41467-024-54457-x,An Automatic End-to-End Chemical Synthesis Development Platform Powered by Large Language Models,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
281,2406.01637,Teams of LLM Agents can Exploit Zero-Day Vulnerabilities,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
282,2502.11127,G-Safeguard: A Topology-Guided Security Lens and Treatment on LLM-based Multi-agent Systems,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
283,2507.06134,OpenAgentSafety: A Comprehensive Framework for Evaluating Real-World AI Agent Safety,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
284,2503.04957,SafeArena: Evaluating the Safety of Autonomous Web Agents,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
285,2604.15597,LLMs Corrupt Your Documents When You Delegate,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
286,2509.14285,A Multi-Agent LLM Defense Pipeline Against Prompt Injection Attacks,watchlist,assigned-for-review,batch-02.csv,Assigned to a review batch.
287,2506.00641,AgentAuditor: Human-Level Safety and Security Evaluation for LLM Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
288,2312.14197,Benchmarking and Defending Against Indirect Prompt Injection Attacks on Large Language Models,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
289,2412.14470,Agent-SafetyBench: Evaluating the Safety of LLM Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
290,2410.09024,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
291,2403.02691,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
292,2401.10019,R-Judge: Benchmarking Safety Risk Awareness for LLM Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
293,2404.13161,CyberSecEval 2: A Wide-Ranging Cybersecurity Evaluation Suite for Large Language Models,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
294,2510.16492,Check Yourself Before You Wreck Yourself: Selectively Quitting Improves LLM Agent Safety,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
295,2506.01055,Simple Prompt Injection Attacks Can Leak Personal Data Observed by LLM Agents During Task Execution,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
296,2302.12173,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
297,2406.13352,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
298,2602.22724,AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification,watchlist,assigned-for-review,batch-02.csv,Assigned to a review batch.
299,2603.11853,"OpenClaw PRISM: A Zero-Fork, Defense-in-Depth Runtime Security Layer for Tool-Augmented LLM Agents",watchlist,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
300,2412.14093,Alignment Faking in Large Language Models,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
301,2406.03007,BadAgent: Inserting and Activating Backdoor Attacks in LLM Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
302,2401.05566,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
303,2404.13208,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
304,2412.16682,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
305,2402.10753,ToolSword: Unveiling Safety Issues of Large Language Models in Tool Learning Across Three Stages,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
306,2305.15324,Model Evaluation for Extreme Risks,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
307,2507.08270,Agent Safety Alignment via Reinforcement Learning,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
308,2507.15219,PromptArmor: Simple yet Effective Prompt Injection Defenses,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
309,2309.15817,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
310,2602.20156,Skill-Inject: Measuring Agent Vulnerability to Skill File Attacks,watchlist,assigned-for-review,batch-02.csv,Assigned to a review batch.
311,2312.06942,AI Control: Improving Safety Despite Intentional Subversion,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
312,2307.03718,Frontier AI Regulation: Managing Emerging Risks to Public Safety,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
313,2412.17618,Dynamic Safety Cases for Frontier AI,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
314,2410.21572,Safety Cases for Frontier AI,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
315,2401.11880,"Psysafe: A comprehensive framework for psychological-based attack, defense, and evaluation of multi-agent system safety",candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
316,1605.07736,Learning Multiagent Communication with Backpropagation (CommNet),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
317,1605.06676,Learning to Communicate with Deep Multi-Agent RL (RIAL/DIAL),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
318,1612.07182,Multi-Agent Cooperation and the Emergence of (Natural) Language,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
319,1702.03037,Multi-Agent Reinforcement Learning in Sequential Social Dilemmas,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
320,1705.08926,Counterfactual Multi-Agent Policy Gradients (COMA),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
321,1703.04908,Emergence of Grounded Compositional Language in Multi-Agent Populations,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
322,1803.11485,QMIX: Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
323,1706.05296,Value-Decomposition Networks for Cooperative Multi-Agent Learning (VDN),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
324,1912.06680,Dota 2 with Large Scale Deep Reinforcement Learning (OpenAI Five),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
325,DOI:10.1038/s41586-019-1724-z,Grandmaster Level in StarCraft II using Multi-Agent Reinforcement Learning (AlphaStar),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
326,1810.11187,TarMAC: Targeted Multi-Agent Communication,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
327,1909.07528,Emergent Tool Use from Multi-Agent Autocurricula,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
328,2103.01955,The Surprising Effectiveness of PPO in Cooperative Multi-Agent Games (MAPPO),seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
329,2502.18439,MAPoRL: Multi-Agent Post-Co-Training for Collaborative Large Language Models with Reinforcement Learning,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
330,NeurIPS 2019,Biases for Emergent Communication in Multi-agent Reinforcement Learning,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
331,1703.06182,Deep Decentralized Multi-task Multi-Agent Reinforcement Learning under Partial Observability,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
332,1703.10069,Multiagent Bidirectionally-Coordinated Nets for Learning to Play StarCraft Combat Games,candidate,assigned-for-review,batch-02.csv,Assigned to a review batch.
333,1702.08887,Stabilising Experience Replay for Deep Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
334,1710.03748,Emergent Complexity via Multi-Agent Competition,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
335,2011.09533,Is Independent Learning All You Need in the StarCraft Multi-Agent Challenge?,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
336,2005.13625,Parameter Sharing is Surprisingly Useful for Multi-Agent Deep Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
337,ICML 1993,Multi-agent Reinforcement Learning: Independent versus Cooperative Agents,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
338,1802.05438,Mean Field Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
339,1810.02912,Actor-Attention-Critic for Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
340,1811.01458,Bayesian Action Decoder for Deep Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
341,1905.05408,QTRAN: Learning to Factorize with Transformation for Cooperative Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
342,1810.08647,Social Influence as Intrinsic Motivation for Multi-Agent Deep Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
343,2003.06709,Deep Multi-Agent Reinforcement Learning for Decentralized Continuous Cooperative Control,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
344,2007.02529,Learning Implicit Credit Assignment for Multi-Agent Actor-Critic,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
345,2006.10800,Weighted QMIX: Expanding Monotonic Value Function Factorisation for Deep Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
346,2007.12322,DOP: Off-Policy Multi-Agent Decomposed Policy Gradients,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
347,2205.14953,Multi-Agent Reinforcement Learning is a Sequence Modeling Problem,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
348,ICML 1994,Markov Games as a Framework for Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
349,ICML 2000,An Algorithm for Distributed Reinforcement Learning in Cooperative Multi-Agent Systems,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
350,IROS 2007,Hysteretic Q-Learning: An Algorithm for Decentralized Reinforcement Learning in Cooperative Multi-Agent Teams,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
351,1804.03980,Emergent Communication through Negotiation,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
352,ICLR 2020,On the Interaction Between Supervision and Self-Play in Emergent Communication,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
353,2506.02718,Heterogeneous Group-Based Reinforcement Learning for LLM-based Multi-Agent Systems,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
354,1808.10696,How Agents See Things: On Visual Representations in an Emergent Language Game,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
355,1809.00549,Emergence of Communication in an Interactive World with Consistent Speakers,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
356,1906.02403,Ease-of-Teaching and Language Structure from Emergent Communication,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
357,2405.11106,Llm-based multi-agent reinforcement learning: Current and future directions,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
358,2404.03869,Heterogeneous Multi-Agent Reinforcement Learning for Zero-Shot Scalable Collaboration,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
359,1603.01121,Deep Reinforcement Learning from Self-Play in Imperfect-Information Games,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
360,1609.05559,Opponent Modeling in Deep Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
361,1711.09846,Population Based Training of Neural Networks,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
362,1803.08884,Inequity Aversion Improves Cooperation in Intertemporal Social Dilemmas,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
363,1807.01281,Human-level Performance in First-person Multiplayer Games with Population-based Deep Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
364,1908.09453,OpenSpiel: A Framework for Reinforcement Learning in Games,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
365,2004.09124,Compositionality and Generalization in Emergent Languages,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
366,2107.12808,Open-Ended Learning Leads to Generally Capable Agents,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
367,2506.24119,SPIRAL: Self-Play on Zero-Sum Games Incentivizes Reasoning via Multi-Agent Multi-Turn Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
368,1712.01815,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,watchlist,assigned-for-review,batch-03.csv,Assigned to a review batch.
369,Proceedings of ICLR,Learning to schedule communication in multi-agent reinforcement learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
370,2410.18636,Multi-agent cooperation through learning-aware policy gradients,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
371,2006.02419,Emergent Multi-Agent Communication in the Deep Learning Era,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
372,2402.01680,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,seed,seed-existing-reviewed-corpus,,Seed paper already belongs to reviewed corpus; not low-quality pruned from papers_extra.
373,2501.06322,Multi-Agent Collaboration Mechanisms: A Survey of LLMs,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
374,2502.14321,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
375,2505.21116,Creativity in LLM-based Multi-Agent Systems: A Survey,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
376,2504.01963,LLMs Working in Harmony: A Survey on the Technological Aspects of Building Effective LLM-Based Multi Agent Systems,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
377,2412.17481,A Survey on LLM-based Multi-Agent System: Recent Advances and New Frontiers in Application,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
378,2402.03578,LLM Multi-Agent Systems: Challenges and Open Problems,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
379,2404.04834,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead",candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
380,2308.11432,A Survey on Large Language Model based Autonomous Agents,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
381,2511.07448,Large Language Models for Scientific Idea Generation: A Creativity-Centered Survey,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
382,2503.24047,Towards Scientific Intelligence: A Survey of LLM-based Scientific Agents,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
383,2309.07864,The Rise and Potential of Large Language Model Based Agents: A Survey,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
384,1810.05587,A Survey and Critique of Multiagent Deep Reinforcement Learning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
385,DOI:10.1038/s43588-025-00811-y,Rethinking Chemical Research in the Age of Large Language Models,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
386,2505.04651,"Scientific Hypothesis Generation and Validation: Methods, Datasets, and Future Directions",candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
387,DOI:10.1109/TSMCC.2007.913919,A Comprehensive Survey of Multi-Agent Reinforcement Learning,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
388,DOI:10.1007/s10458-005-2631-2,Cooperative Multi-Agent Learning: The State of the Art,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
389,2311.08152,Towards reasoning in large language models via multi-agent peer review collaboration,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
390,Vicinagearth,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
391,Wiley,An Introduction to MultiAgent Systems,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
392,Cambridge 2009,"Multiagent Systems: Algorithmic, Game-Theoretic, and Logical Foundations",candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
393,2311.03220,Alympics: Language Agents Meet Game Theory,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
394,DOI:10.1145/191246.191322,KQML as an Agent Communication Language,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
395,KER 10(2),Intelligent Agents: Theory and Practice,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
396,DOI:10.1109/TC.1980.1675516,The Contract Net Protocol: High-Level Communication and Control in a Distributed Problem Solver,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
397,Nous 25(4),Teamwork,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
398,Market-based Control,Market-Oriented Programming: Some Early Lessons,candidate,assigned-for-review,batch-08.csv,Assigned to a review batch.
399,AIJ 86(2),SharedPlans: A Model of Collaborative Plans and Intentions,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
400,FIPA SC00061,FIPA ACL Message Structure Specification,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
401,https://doi.org/10.1145/3640457.3688061,A Hybrid Multi-Agent Conversational Recommender System with LLM and Search Engine in E-commerce,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
402,https://doi.org/10.5281/zenodo.18786200,Agentic AI Project Manager: Multi-Agent Orchestration with Local LLMs,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
403,https://doi.org/10.3390/smartcities8010019,LLM Agents for Smart City Management: Enhancing Decision Support Through Multi-Agent AI Systems,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
404,2402.17161,Large Language Model for Participatory Urban Planning,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
405,2410.02958,AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
406,https://doi.org/10.35542/osf.io/kq8zh_v1,Automating Thematic Analysis with Multi-Agent LLM Systems,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
407,https://doi.org/10.1109/airc64931.2025.11077480,LLM-Powered Multi-Agent Systems: A Technical Framework for Collaborative Intelligence Through Optimized Knowledge Retrieval and Communication,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
408,2604.23579,CineAGI: Character-Consistent Movie Creation through LLM-Orchestrated Multi-Modal Generation and Cross-Scene Integration,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
409,2604.07911,Dynamic Attentional Context Scoping: Agent-Triggered Focus Sessions for Isolated Per-Agent Steering in Multi-Agent LLM Orchestration,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
410,https://doi.org/10.1109/tccn.2025.3528892,AutoHMA-LLM: Efficient Task Coordination and Execution in Heterogeneous Multi-Agent Systems Using Hybrid Large Language Models,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
411,https://doi.org/10.2139/ssrn.4921381,Metaopenfoam: An Llm-Based Multi-Agent Framework for Cfd,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
412,2411.08063,MatPilot: an LLM-enabled AI Materials Scientist under the Framework of Human-Machine Collaboration,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
413,https://doi.org/10.18653/v1/2025.emnlp-main.623,Understanding the Information Propagation Effects of Communication Topologies in LLM-based Multi-Agent Systems,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
414,https://doi.org/10.1145/3696410.3714595,Thematic-LM: A LLM-based Multi-agent System for Large-scale Thematic Analysis,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
415,2502.19860,MIND: Towards Immersive Psychological Healing with Multi-agent Inner Dialogue,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
416,2402.16713,Navigating Complexity: Orchestrated Problem Solving with Multi-Agent LLMs,candidate,previously-removed,,Already removed from manifest and recorded in removed-low-quality file.
417,2604.24807,From Prototype to Classroom: An Intelligent Tutoring System for Quantum Education,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
418,2602.05446,DiLLS: Interactive Diagnosis of LLM-based Multi-agent Systems via Layered Summary of Agent Behaviors,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
419,https://doi.org/10.3389/fhumd.2025.1579166,Human-artificial interaction in the age of agentic AI: a system-theoretical approach,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
420,2504.02051,Self-Resource Allocation in Multi-Agent LLM Systems,candidate,assigned-for-review,batch-03.csv,Assigned to a review batch.
421,https://doi.org/10.1039/d4dd00013g,ProtAgents: protein discovery via large language model multi-agent collaborations combining physics and machine learning,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
422,https://doi.org/10.3389/frai.2025.1593017,Multi-agent systems powered by large language models: applications in swarm intelligence,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
423,https://doi.org/10.52202/079017-4397,Reflective Multi-Agent Collaboration based on Large Language Models,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
424,https://doi.org/10.1109/tccn.2024.3482354,Semantic Information Extraction and Multi-Agent Communication Optimization Based on Generative Pre-Trained Transformer,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
425,https://doi.org/10.1109/access.2025.3548451,LLM-Driven Social Influence for Cooperative Behavior in Multi-Agent Systems,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
426,https://doi.org/10.1109/ispds67367.2025.11390999,Modular Task Decomposition and Dynamic Collaboration in Multi-Agent Systems Driven by Large Language Models,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
427,https://doi.org/10.1109/tits.2025.3564389,EV Charging System Considering Power Dispatching Based on Multi-Agent LLMs and CGAN,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
428,https://doi.org/10.1016/j.aei.2025.104246,AirfoilAgent: Airfoil aerodynamics optimization design via large language model multi-agent collaborations,candidate,assigned-for-review,batch-09.csv,Assigned to a review batch.
429,https://doi.org/10.1016/j.cag.2025.104338,AgentCoord: Visually exploring coordination strategy for LLM-based multi-agent collaboration,candidate,assigned-for-review,batch-10.csv,Assigned to a review batch.
430,https://doi.org/10.18653/v1/2025.naacl-long.83,Divergent Thoughts toward One Goal: LLM-based Multi-Agent Collaboration System for Electronic Design Automation,candidate,assigned-for-review,batch-10.csv,Assigned to a review batch.
431,https://doi.org/10.18653/v1/2025.acl-long.1170,AgentDropout: Dynamic Agent Elimination for Token-Efficient and High-Performance LLM-Based Multi-Agent Collaboration,candidate,assigned-for-review,batch-10.csv,Assigned to a review batch.
